entityId,Data_Release,Id,type,CDS_Release,IDC_Release,Component
syn25459682,Release 1.0,,file,,,
syn23764007,Release 1.0,,file,,,OtherAssay
syn23764047,Release 1.0,,file,,,OtherAssay
syn23763993,Release 1.0,,file,,,OtherAssay
syn23764023,Release 1.0,,file,,,OtherAssay
syn23763976,Release 1.0,,file,,,OtherAssay
syn23764029,Release 1.0,,file,,,OtherAssay
syn23763979,Release 1.0,,file,,,OtherAssay
syn23764037,Release 1.0,,file,,,OtherAssay
syn23763987,Release 1.0,,file,,,OtherAssay
syn23764017,Release 1.0,,file,,,OtherAssay
syn23764086,Release 1.0,,file,,,OtherAssay
syn23764123,Release 1.0,,file,,,OtherAssay
syn23764055,Release 1.0,,file,,,OtherAssay
syn23764107,Release 1.0,,file,,,OtherAssay
syn23764094,Release 1.0,,file,,,OtherAssay
syn23764110,Release 1.0,,file,,,OtherAssay
syn23763981,Release 1.0,,file,,,OtherAssay
syn23764044,Release 1.0,,file,,,OtherAssay
syn23764100,Release 1.0,,file,,,OtherAssay
syn23764103,Release 1.0,,file,,,OtherAssay
syn23763977,Release 1.0,,file,,,OtherAssay
syn23764024,Release 1.0,,file,,,OtherAssay
syn23764078,Release 1.0,,file,,,OtherAssay
syn23764137,Release 1.0,,file,,,OtherAssay
syn23764115,Release 1.0,,file,,,OtherAssay
syn23764167,Release 1.0,,file,,,OtherAssay
syn23764104,Release 1.0,,file,,,OtherAssay
syn23764187,Release 1.0,,file,,,OtherAssay
syn23764069,Release 1.0,,file,,,OtherAssay
syn23764120,Release 1.0,,file,,,OtherAssay
syn23764068,Release 1.0,,file,,,OtherAssay
syn23764122,Release 1.0,,file,,,OtherAssay
syn23764090,Release 1.0,,file,,,OtherAssay
syn23764154,Release 1.0,,file,,,OtherAssay
syn23764011,Release 1.0,,file,,,OtherAssay
syn23764059,Release 1.0,,file,,,OtherAssay
syn23764097,Release 1.0,,file,,,OtherAssay
syn23764146,Release 1.0,,file,,,OtherAssay
syn23764112,Release 1.0,,file,,,OtherAssay
syn23764169,Release 1.0,,file,,,OtherAssay
syn23764134,Release 1.0,,file,,,OtherAssay
syn23764176,Release 1.0,,file,,,OtherAssay
syn23764111,Release 1.0,,file,,,OtherAssay
syn23764160,Release 1.0,,file,,,OtherAssay
syn23764026,Release 1.0,,file,,,OtherAssay
syn23764056,Release 1.0,,file,,,OtherAssay
syn23764141,Release 1.0,,file,,,OtherAssay
syn23764133,Release 1.0,,file,,,OtherAssay
syn23764168,Release 1.0,,file,,,OtherAssay
syn23764127,Release 1.0,,file,,,OtherAssay
syn23764140,Release 1.0,,file,,,OtherAssay
syn23764126,Release 1.0,,file,,,OtherAssay
syn23764180,Release 1.0,,file,,,OtherAssay
syn23764067,Release 1.0,,file,,,OtherAssay
syn23764124,Release 1.0,,file,,,OtherAssay
syn23764080,Release 1.0,,file,,,OtherAssay
syn23764087,Release 1.0,,file,,,OtherAssay
syn23764150,Release 1.0,,file,,,OtherAssay
