entityId,Data_Release,Id,type,CDS_Release,IDC_Release,Component,channel_metadata_version,channel_metadata_synapseId
syn25485809,Release 5.1,b5f2d38c-7dcb-449a-9fef-f50d6501c5d5,Folder,,,AccessoryManifest,,
syn25459682,Release 1.0,,file,,,,,
syn23763993,Release 1.0,,file,,,OtherAssay,,
syn23764187,Release 1.0,,file,,,OtherAssay,,
syn23764126,Release 1.0,,file,,,OtherAssay,,
syn23764175,Release 1.0,,file,,,OtherAssay,,
syn24991825,Release 1.0,,file,,,OtherAssay,,
syn24167629,Release 1.0,,file,,,OtherAssay,,
syn24991821,Release 1.0,,file,,,OtherAssay,,
syn23875940,Release 1.0,,file,,,OtherAssay,,
syn25126660,Release 1.0,,file,,,OtherAssay,,
syn23876751,Release 1.0,,file,,,OtherAssay,,
syn23879391,Release 1.0,,file,,,OtherAssay,,
syn25126663,Release 1.0,,file,,,OtherAssay,,
syn23879958,Release 1.0,,file,,,OtherAssay,,
syn23764133,Release 1.0,,file,,,OtherAssay,,
syn24167958,Release 1.0,,file,,,OtherAssay,,
syn24991831,Release 1.0,,file,,,OtherAssay,,
syn24991910,Release 1.0,,file,,,OtherAssay,,
syn24991761,Release 1.0,,file,,,OtherAssay,,
syn24167632,Release 1.0,,file,,,OtherAssay,,
syn23875636,Release 1.0,,file,,,OtherAssay,,
syn25002168,Release 1.0,,file,,,OtherAssay,,
syn23875679,Release 1.0,,file,,,OtherAssay,,
syn23873620,Release 1.0,,file,,,OtherAssay,,
syn25126532,Release 1.0,,file,,,OtherAssay,,
syn25126539,Release 1.0,,file,,,OtherAssay,,
syn25126647,Release 1.0,,file,,,OtherAssay,,
syn23877234,Release 1.0,,file,,,OtherAssay,,
syn23879785,Release 1.0,,file,,,OtherAssay,,
syn23879128,Release 1.0,,file,,,OtherAssay,,
syn23878073,Release 1.0,,file,,,OtherAssay,,
syn25002160,Release 1.0,,file,,,OtherAssay,,
syn23764103,Release 1.0,,file,,,OtherAssay,,
syn23764185,Release 1.0,,file,,,OtherAssay,,
syn24167794,Release 1.0,,file,,,OtherAssay,,
syn24167898,Release 1.0,,file,,,OtherAssay,,
syn24167937,Release 1.0,,file,,,OtherAssay,,
syn24167737,Release 1.0,,file,,,OtherAssay,,
syn25126541,Release 1.0,,file,,,OtherAssay,,
