HTAN_Data_File_ID,Imaging_Assay_Type
HTA7_905_1004,RareCyte Orion
HTA7_942_1004,RareCyte Orion
HTA7_949_1003,RareCyte Orion
HTA7_950_1004,RareCyte Orion
HTA7_951_1003,RareCyte Orion
HTA7_952_1004,RareCyte Orion
HTA7_953_1004,RareCyte Orion
HTA7_955_1004,RareCyte Orion
HTA7_959_1004,RareCyte Orion
HTA7_907_1004,RareCyte Orion
HTA7_961_1004,RareCyte Orion
HTA7_969_1004,RareCyte Orion
HTA7_971_1004,RareCyte Orion
HTA7_975_1004,RareCyte Orion
HTA7_976_1004,RareCyte Orion
HTA7_977_1003,RareCyte Orion
HTA7_978_1004,RareCyte Orion
HTA7_979_1003,RareCyte Orion
HTA7_980_1004,RareCyte Orion
HTA7_984_1003,RareCyte Orion
HTA7_910_1003,RareCyte Orion
HTA7_991_1004,RareCyte Orion
HTA7_992_1004,RareCyte Orion
HTA7_996_1000,RareCyte Orion
HTA7_997_1000,RareCyte Orion
HTA7_998_1000,RareCyte Orion
HTA7_999_1000,RareCyte Orion
HTA7_1000_1000,RareCyte Orion
HTA7_1001_1000,RareCyte Orion
HTA7_1002_1000,RareCyte Orion
HTA7_1003_1000,RareCyte Orion
HTA7_1004_1000,RareCyte Orion
HTA7_1005_1000,RareCyte Orion
HTA7_1006_1000,RareCyte Orion
HTA7_926_1012,RareCyte Orion
HTA7_927_1013,RareCyte Orion
HTA7_932_1013,RareCyte Orion
HTA7_934_1013,RareCyte Orion
HTA7_966_1010,RareCyte Orion
HTA7_947_1013,RareCyte Orion
HTA7_989_1013,RareCyte Orion
HTA7_922_1013,RareCyte Orion
HTA7_931_1013,RareCyte Orion
HTA7_940_1013,RareCyte Orion
HTA7_963_1012,RareCyte Orion
HTA7_972_1013,RareCyte Orion
HTA7_925_1013,RareCyte Orion
HTA7_982_1013,RareCyte Orion
HTA7_965_1011,RareCyte Orion
HTA7_904_1004,RareCyte Orion
HTA7_906_1004,RareCyte Orion
HTA7_909_1003,RareCyte Orion
HTA7_911_1004,RareCyte Orion
HTA7_920_1013,RareCyte Orion
HTA7_914_1002,RareCyte Orion
HTA7_923_1002,RareCyte Orion
HTA7_924_1003,RareCyte Orion
HTA7_933_1004,RareCyte Orion
HTA7_938_1003,RareCyte Orion
HTA7_943_1004,RareCyte Orion
HTA7_954_1004,RareCyte Orion
HTA7_957_1004,RareCyte Orion
HTA7_968_1004,RareCyte Orion
HTA7_983_1003,RareCyte Orion
HTA7_985_1002,RareCyte Orion
HTA7_994_1004,RareCyte Orion
HTA7_919_1004,RareCyte Orion
HTA7_919_1006,RareCyte Orion
HTA7_928_1004,RareCyte Orion
HTA7_941_1004,RareCyte Orion
HTA7_945_1004,RareCyte Orion
HTA7_936_1003,RareCyte Orion
HTA7_908_1004,RareCyte Orion
HTA7_917_1003,RareCyte Orion
HTA7_960_1004,RareCyte Orion
HTA3_0042_11009061,IMC
HTA12_1_1102,IMC
HTA12_1_1103,IMC
HTA12_1_1104,IMC
HTA12_1_1107,IMC
HTA12_1_1108,IMC
HTA12_1_1109,IMC
HTA12_1_1110,IMC
HTA12_1_1111,IMC
HTA12_2_1102,IMC
HTA12_2_1103,IMC
HTA12_2_1104,IMC
HTA12_2_1106,IMC
HTA12_2_1107,IMC
HTA12_2_1108,IMC
HTA12_2_1109,IMC
HTA12_2_1110,IMC
HTA12_2_1112,IMC
HTA12_2_1113,IMC
HTA12_2_1114,IMC
HTA12_2_1115,IMC
HTA12_3_1102,IMC
HTA12_3_1103,IMC
HTA12_3_1104,IMC
HTA12_3_1106,IMC
HTA12_3_1107,IMC
HTA12_3_1108,IMC
HTA12_3_1110,IMC
HTA12_3_1111,IMC
HTA12_3_1112,IMC
HTA12_4_1102,IMC
HTA12_4_1103,IMC
HTA12_4_1104,IMC
HTA12_4_1105,IMC
HTA12_4_1107,IMC
HTA12_4_1108,IMC
HTA12_4_1109,IMC
HTA12_4_1111,IMC
HTA12_4_1112,IMC
HTA12_4_1113,IMC
HTA12_4_1115,IMC
HTA12_4_1116,IMC
HTA12_16_1109,IMC
HTA12_16_1110,IMC
HTA12_16_1111,IMC
HTA12_9_1102,IMC
HTA12_9_1103,IMC
HTA12_9_1104,IMC
HTA12_9_1106,IMC
HTA12_9_1107,IMC
HTA12_9_1109,IMC
HTA12_9_1110,IMC
HTA12_9_1112,IMC
HTA12_9_1113,IMC
HTA12_10_1102,IMC
HTA12_10_1103,IMC
HTA12_10_1105,IMC
HTA12_10_1106,IMC
HTA12_10_1108,IMC
HTA12_10_1109,IMC
HTA12_11_1102,IMC
HTA12_11_1103,IMC
HTA12_11_1105,IMC
HTA12_11_1106,IMC
HTA12_11_1108,IMC
HTA12_11_1109,IMC
HTA12_11_1110,IMC
HTA12_15_1102,IMC
HTA12_15_1103,IMC
HTA12_15_1105,IMC
HTA12_15_1106,IMC
HTA12_15_1107,IMC
HTA12_15_1109,IMC
HTA12_15_1110,IMC
HTA12_16_1102,IMC
HTA12_16_1103,IMC
HTA12_16_1106,IMC
HTA12_16_1107,IMC
HTA12_16_1108,IMC
HTA13_2_5081,SABER
HTA13_2_5082,SABER
HTA13_1_5083,SABER
HTA13_1_5086,SABER
HTA13_1_5215,SABER
HTA13_1_5216,SABER
HTA1_0000_125136,H&E
HTA1_0000_102120,H&E
HTA1_0000_130204,H&E
HTA1_116_314021,H&E
HTA1_148_1414021,H&E
HTA1_141_1114021,H&E
HTA1_0000_656672,H&E
HTA1_213_67523011,H&E
HTA1_213_67523061,H&E
HTA1_313_9323061,H&E
HTA1_313_9323011,H&E
HTA1_330_10823061,H&E
HTA1_330_10823011,H&E
HTA1_364_13213011,H&E
HTA1_364_13213061,H&E
HTA1_514_67603061,H&E
HTA1_514_67603011,H&E
HTA1_783_40813061,H&E
HTA1_783_40813011,H&E
HTA1_812_82393061,H&E
HTA1_812_82393011,H&E
HTA1_853_43813011,H&E
HTA1_853_43813061,H&E
HTA1_878_71493011,H&E
HTA1_878_71493071,H&E
HTA1_880_71793011,H&E
HTA1_880_71793061,H&E
HTA1_917_45313011,H&E
HTA1_917_45313061,H&E
HTA1_982_76293011,H&E
HTA1_982_76293061,H&E
HTA1_997_77893011,H&E
HTA1_997_77893061,H&E
HTA1_141_1113051,H&E
HTA1_136_1023051,H&E
HTA1_141_1113011,H&E
HTA1_136_1023011,H&E
HTA1_672_85093051,H&E
HTA1_672_85093011,H&E
HTA1_204_66013061,H&E
HTA1_204_66013011,H&E
HTA1_120_413011,H&E
HTA1_148_1413011,H&E
HTA1_148_1413051,H&E
HTA1_125_713051,H&E
HTA1_125_713011,H&E
HTA1_116_313051,H&E
HTA1_102_113011,H&E
HTA1_116_313011,H&E
HTA1_130_913011,H&E
HTA1_130_913051,H&E
HTA1_102_113051,H&E
HTA1_0000_330254,H&E
HTA1_783_408140301,H&E
HTA1_0000_313364,H&E
HTA1_225_456040301,H&E
HTA1_853_438140301,H&E
HTA1_0000_997514,H&E
HTA1_0000_67624080,H&E
HTA1_752_405140301,H&E
HTA1_0000_67614100,H&E
HTA1_0000_25812603,H&E
HTA1_0000_890870,H&E
HTA1_982_762940301,H&E
HTA1_0000_71797180,H&E
HTA1_917_453140301,H&E
HTA11_1391_20000010116110030010000009999,H&E
HTA11_1938_20000010116110030010000009999,H&E
HTA11_2112_20000010116110030010000009999,H&E
HTA11_2235_20000010116110030010000009999,H&E
HTA11_2487_20000010116110030010000009999,H&E
HTA11_2951_20000010116110030010000009999,H&E
HTA11_3077_20000010116110030010000009999,H&E
HTA11_3252_20000010116110030010000009999,H&E
HTA11_3331_20000010116110030010000009999,H&E
HTA11_3361_20000010116110030010000009999,H&E
HTA11_3410_20000010116110030010000009999,H&E
HTA11_347_20000010116110030010000009999,H&E
HTA11_377_20000010116110030010000009999,H&E
HTA11_392_30000110116110030010000009999,H&E
HTA11_411_20000010116110030010000009999,H&E
HTA11_4255_20000010116110030010000009999,H&E
HTA11_4781_20000010116110030010000009999,H&E
HTA11_4814_20000010116110030010000009999,H&E
HTA11_5212_20000010116110030010000009999,H&E
HTA11_5216_20000010116110030010000009999,H&E
HTA11_5363_20000010116110030010000009999,H&E
HTA11_546_20000010116110030010000009999,H&E
HTA11_5994_20000010116110030010000009999,H&E
HTA11_6025_20000010116110030010000009999,H&E
HTA11_6134_20000010116110030010000009999,H&E
HTA11_6147_20000010116110030010000009999,H&E
HTA11_6310_20000010116110030010000009999,H&E
HTA11_696_20000010116110030010000009999,H&E
HTA11_83_20000010116110030010000009999,H&E
HTA11_866_20000010116110030010000009999,H&E
HTA3_0001_1901119,H&E
HTA3_0001_1900482,H&E
HTA3_0001_1900589,H&E
HTA3_0001_1900898,H&E
HTA3_0001_1901120,H&E
HTA3_0001_1990001,H&E
HTA3_0001_1990004,H&E
HTA3_0001_1990002,H&E
HTA3_0001_1990003,H&E
HTA3_0001_1900903,H&E
HTA3_0001_1990005,H&E
HTA3_0001_1900587,H&E
HTA3_0001_1901117,H&E
HTA3_0001_1900586,H&E
HTA3_0001_1901116,H&E
HTA3_0001_1901315,H&E
HTA3_0001_1900585,H&E
HTA3_0001_1901314,H&E
HTA3_0001_1901115,H&E
HTA3_0001_1900480,H&E
HTA3_0001_1900481,H&E
HTA3_0001_1900588,H&E
HTA3_0001_1900900,H&E
HTA3_0001_1901118,H&E
HTA3_0002_1900441,H&E
HTA3_0002_1900442,H&E
HTA3_0003_1990065,H&E
HTA3_0003_1900694,H&E
HTA3_0003_1990064,H&E
HTA3_0003_1900693,H&E
HTA3_0003_1900947,H&E
HTA3_0004_1990067,H&E
HTA3_0004_1990068,H&E
HTA3_0004_1990006,H&E
HTA3_0004_1990007,H&E
HTA3_0004_1900606,H&E
HTA3_0004_1900604,H&E
HTA3_0004_1990008,H&E
HTA3_0004_1990009,H&E
HTA3_0004_1900605,H&E
HTA3_0005_1900325,H&E
HTA3_0005_1900727,H&E
HTA3_0006_1900776,H&E
HTA3_0006_1901279,H&E
HTA3_0006_1900447,H&E
HTA3_0007_1900455,H&E
HTA3_0007_1900456,H&E
HTA3_0007_1900528,H&E
HTA3_0007_1900453,H&E
HTA3_0007_1900526,H&E
HTA3_0007_1900527,H&E
HTA3_0008_1900840,H&E
HTA3_0008_1900841,H&E
HTA3_0008_1901196,H&E
HTA3_0008_1900837,H&E
HTA3_0008_1901191,H&E
HTA3_0008_1900418,H&E
HTA3_0008_1900838,H&E
HTA3_0008_1901194,H&E
HTA3_0009_1900557,H&E
HTA3_0009_1900844,H&E
HTA3_0009_1900991,H&E
HTA3_0009_1901207,H&E
HTA3_0009_1900558,H&E
HTA3_0009_1900845,H&E
HTA3_0009_1900992,H&E
HTA3_0009_1900846,H&E
HTA3_0009_1901209,H&E
HTA3_0009_1990010,H&E
HTA3_0010_1990011,H&E
HTA3_0010_1990012,H&E
HTA3_0010_1900505,H&E
HTA3_0010_1990013,H&E
HTA3_0010_1990014,H&E
HTA3_0010_1900503,H&E
HTA3_0010_1990061,H&E
HTA3_0010_1900700,H&E
HTA3_0010_1990062,H&E
HTA3_0010_1900504,H&E
HTA3_0010_1900701,H&E
HTA3_0011_1900341,H&E
HTA3_0011_1900433,H&E
HTA3_0011_1900567,H&E
HTA3_0011_1900340,H&E
HTA3_0011_1900432,H&E
HTA3_0011_1990015,H&E
HTA3_0012_1900736,H&E
HTA3_0012_1901253,H&E
HTA3_0014_1990020,H&E
HTA3_0014_1900748,H&E
HTA3_0014_1990017,H&E
HTA3_0014_1900394,H&E
HTA3_0014_1900747,H&E
HTA3_0014_1990018,H&E
HTA3_0014_1900393,H&E
HTA3_0014_1990023,H&E
HTA3_0014_1900745,H&E
HTA3_0014_1900744,H&E
HTA3_0014_1990021,H&E
HTA3_0015_1900402,H&E
HTA3_0015_1900571,H&E
HTA3_0015_1900932,H&E
HTA3_0015_1901327,H&E
HTA3_0015_1900570,H&E
HTA3_0015_1900864,H&E
HTA3_0016_1990024,H&E
HTA3_0016_1990025,H&E
HTA3_0016_1900509,H&E
HTA3_0016_1900647,H&E
HTA3_0017_1900473,H&E
HTA3_0017_1990030,H&E
HTA3_0017_1900732,H&E
HTA3_0017_1990028,H&E
HTA3_0017_1900850,H&E
HTA3_0017_1990029,H&E
HTA3_0017_1900472,H&E
HTA3_0017_1900731,H&E
HTA3_0017_1900849,H&E
HTA3_0018_1900496,H&E
HTA3_0018_1900651,H&E
HTA3_0018_1901146,H&E
HTA3_0018_1900494,H&E
HTA3_0018_1900650,H&E
HTA3_0018_1901145,H&E
HTA3_0020_1900370,H&E
HTA3_0020_1990031,H&E
HTA3_0020_1900784,H&E
HTA3_0020_1990032,H&E
HTA3_0020_1900367,H&E
HTA3_0020_1990033,H&E
HTA3_0020_1900783,H&E
HTA3_0020_1990034,H&E
HTA3_0021_1900723,H&E
HTA3_0021_1900943,H&E
HTA3_0021_1900319,H&E
HTA3_0021_1900942,H&E
HTA3_0021_1901091,H&E
HTA3_0021_1901310,H&E
HTA3_0021_1900465,H&E
HTA3_0021_1900724,H&E
HTA3_0021_1900944,H&E
HTA3_0021_1901092,H&E
HTA3_0021_1901311,H&E
HTA3_0021_1990035,H&E
HTA3_0021_1900581,H&E
HTA3_0021_1990037,H&E
