Manifest_Id,Data_Release,Manifest_Version
syn39148070,Release 1.0,
syn39144929,Release 1.0,
syn39141359,Release 1.0,
syn39148043,Release 1.0,
syn39284881,Release 1.0,
syn39159904,Release 1.0,
syn39148087,Release 1.0,
syn39266384,Release 1.0,
syn39247030,Release 1.0,
syn39051213,Release 1.0,
syn39141342,Release 1.0,
syn39168806,Release 1.0,
syn39140863,Release 1.0,
syn39283525,Release 1.0,
syn39159784,Release 1.0,
syn39169783,Release 1.0,
syn39253429,Release 1.0,
syn39051263,Release 1.0,
syn39141967,Release 1.0,
syn39148008,Release 1.0,
syn39265227,Release 1.0,
syn39265472,Release 1.0,
syn39159015,Release 1.0,
syn39143602,Release 1.0,
syn39255125,Release 1.0,
syn39271290,Release 1.0,
syn39247218,Release 1.0,
syn39142015,Release 1.0,
syn41916956,Release 1.0,
syn41917489,Release 1.0,
syn39247148,Release 1.0,
syn39253706,Release 1.0,
syn39247252,Release 1.0,
syn39283850,Release 1.0,
syn39263670,Release 1.0,
syn39143463,Release 1.0,
syn39253517,Release 1.0,
syn39169760,Release 1.0,
syn39147740,Release 1.0,
syn39247186,Release 1.0,
syn39147409,Release 1.0,
syn39283032,Release 1.0,
syn39148191,Release 1.0,
syn39141939,Release 1.0,
syn39148106,Release 1.0,
syn39255232,Release 1.0,
syn39050991,Release 1.0,
syn39247103,Release 1.0,
syn39148156,Release 1.0,
syn39141994,Release 1.0,
syn39283683,Release 1.0,
syn39148128,Release 1.0,
syn39051938,Release 1.0,
syn41762590,Release 1.0,
syn38868462,Release 1.0,
syn39141331,Release 1.0,
syn39168749,Release 1.0,
syn39282351,Release 1.0,
syn39246524,Release 1.0,
syn39265732,Release 1.0,
syn39143347,Release 1.0,
syn39141349,Release 1.0,
syn39281852,Release 1.0,
syn39143430,Release 1.0,
syn41917308,Release 1.0,
syn39144665,Release 1.0,
syn41762168,Release 1.0,
syn39283342,Release 1.0,
syn39282161,Release 1.0,
syn39253853,Release 1.0,
syn39051142,Release 1.0,
syn39148208,Release 1.0,
syn41919250,Release 1.0,
syn39051632,Release 1.0,
syn39247085,Release 1.0,
syn39247123,Release 1.0,
syn39159871,Release 1.0,
syn39140594,Release 1.0,
syn36266953,Release 1.0,
syn39262957,Release 1.0,
syn39285223,Release 1.0,
syn39168815,Release 1.0,
syn39159835,Release 1.0,
syn41917914,Release 1.0,
syn35488819,Release 1.0,
syn39247437,Release 1.0,
syn39256250,Release 1.0,
syn39255093,Release 1.0,
syn39284405,Release 1.0,
syn39141309,Release 1.0,
syn39143312,Release 1.0,
syn39143395,Release 1.0,
syn41917115,Release 1.0,
syn39255034,Release 1.0,
syn39285191,Release 1.0,
syn39141376,Release 1.0,
syn39054842,Release 1.0,
syn39263335,Release 1.0,
syn35465046,Release 1.0,
syn39050879,Release 1.0,
syn39283075,Release 1.0,
syn38868669,Release 1.0,
syn39254633,Release 1.0,
syn39247346,Release 1.0,
syn39255845,Release 1.0,
syn39285152,Release 1.0,
syn39247262,Release 1.0,
syn39247454,Release 1.0,
syn39051860,Release 1.0,
syn39253974,Release 1.0,
syn39247066,Release 1.0,
syn39147967,Release 1.0,
syn39263164,Release 1.0,
syn41762804,Release 1.0,
syn41917650,Release 1.0,
syn41748132,Release 2.0,
syn39145007,Release 2.0,
syn39144781,Release 2.0,
syn39142091,Release 2.0,
